Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CreatePrivateLead,Chrome 69.0.3497.100,,2018-10-16 15:57:51,2018-10-16 16:01:28,3m - 36.944s,FAILED
,,,,,,
Test Cases/SmokeTest/PrivateLead_CreateLead,Chrome 69.0.3497.100,,2018-10-16 15:57:51,2018-10-16 15:59:05,1m - 14.169s,FAILED
openBrowser,Chrome 69.0.3497.100,,2018-10-16 15:57:52,2018-10-16 15:57:56,3.680s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-16 15:57:56,2018-10-16 15:57:56,0.118s,PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-16 15:57:56,2018-10-16 15:57:57,1.141s,PASSED
setText,Chrome 69.0.3497.100,Insert a valid Login / password and click on Sign in button,2018-10-16 15:57:57,2018-10-16 15:57:58,0.390s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-16 15:57:58,2018-10-16 15:57:58,0.249s,PASSED
click,Chrome 69.0.3497.100,,2018-10-16 15:57:58,2018-10-16 15:58:01,3.146s,PASSED
waitForPageLoad,Chrome 69.0.3497.100,,2018-10-16 15:58:01,2018-10-16 15:58:01,0.291s,PASSED
waitForElementPresent,Chrome 69.0.3497.100,The dashboard appear,2018-10-16 15:58:01,2018-10-16 15:58:01,0.070s,PASSED
waitForPageLoad,Chrome 69.0.3497.100,,2018-10-16 15:58:01,2018-10-16 15:58:02,0.237s,PASSED
click,Chrome 69.0.3497.100,,2018-10-16 15:58:02,2018-10-16 15:59:03,1m - 1.510s,FAILED
,,,,,,
Test Cases/SmokeTest/PrivateLead_CreateLead,Chrome 69.0.3497.100,,2018-10-16 15:59:05,2018-10-16 16:00:17,1m - 11.224s,FAILED
openBrowser,Chrome 69.0.3497.100,,2018-10-16 15:59:06,2018-10-16 15:59:09,3.201s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-16 15:59:09,2018-10-16 15:59:09,0.090s,PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-16 15:59:09,2018-10-16 15:59:10,1.132s,PASSED
setText,Chrome 69.0.3497.100,Insert a valid Login / password and click on Sign in button,2018-10-16 15:59:10,2018-10-16 15:59:10,0.093s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-16 15:59:10,2018-10-16 15:59:10,0.081s,PASSED
click,Chrome 69.0.3497.100,,2018-10-16 15:59:10,2018-10-16 15:59:13,2.945s,PASSED
waitForPageLoad,Chrome 69.0.3497.100,,2018-10-16 15:59:13,2018-10-16 15:59:13,0.008s,PASSED
waitForElementPresent,Chrome 69.0.3497.100,The dashboard appear,2018-10-16 15:59:13,2018-10-16 15:59:13,0.022s,PASSED
waitForPageLoad,Chrome 69.0.3497.100,,2018-10-16 15:59:13,2018-10-16 15:59:13,0.012s,PASSED
click,Chrome 69.0.3497.100,,2018-10-16 15:59:13,2018-10-16 16:00:14,1m - 1.365s,FAILED
,,,,,,
Test Cases/SmokeTest/PrivateLead_CreateLead,Chrome 69.0.3497.100,,2018-10-16 16:00:17,2018-10-16 16:01:28,1m - 11.122s,FAILED
openBrowser,Chrome 69.0.3497.100,,2018-10-16 16:00:17,2018-10-16 16:00:20,3.145s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-16 16:00:20,2018-10-16 16:00:20,0.095s,PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-16 16:00:20,2018-10-16 16:00:21,1.122s,PASSED
setText,Chrome 69.0.3497.100,Insert a valid Login / password and click on Sign in button,2018-10-16 16:00:21,2018-10-16 16:00:21,0.096s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-16 16:00:21,2018-10-16 16:00:21,0.078s,PASSED
click,Chrome 69.0.3497.100,,2018-10-16 16:00:21,2018-10-16 16:00:24,2.949s,PASSED
waitForPageLoad,Chrome 69.0.3497.100,,2018-10-16 16:00:24,2018-10-16 16:00:24,0.008s,PASSED
waitForElementPresent,Chrome 69.0.3497.100,The dashboard appear,2018-10-16 16:00:24,2018-10-16 16:00:24,0.020s,PASSED
waitForPageLoad,Chrome 69.0.3497.100,,2018-10-16 16:00:24,2018-10-16 16:00:24,0.009s,PASSED
click,Chrome 69.0.3497.100,,2018-10-16 16:00:24,2018-10-16 16:01:26,1m - 1.361s,FAILED
